meanx	meany	tvalue	fd	pvalue	adjp
ABCC3	5.64615342540367	11.3459814127361	3.7158205203157	2.00950639451051	0.000378966883791389	0.00659598070726085
AGBL2	0.591610856752294	1.24107903534722	3.78497184677303	2.0977962476217	0.000358086820661021	0.00635095570206509
AGXT2L1	0.0675916860458716	0.0191972057916667	-2.90845580053452	0.284017264765941	0.00489074233105778	0.0338814390657904
ALDH1A3	2.07536488374312	4.76347169790278	3.80891946233584	2.29524539767263	0.000284778404557292	0.00551512238635124
AMZ1	0.105066549211009	0.0491864828333333	-3.17885905481516	0.468145981786746	0.00215697868581014	0.0200134279651638
AQP9	2.02865994826605	4.25996929138889	3.7961320144818	2.09989323002605	0.000269752835674647	0.00533629565560897
ASCL1	23.1589734346422	11.1729535194861	-5.94828709965985	0.482445975035021	3.8129432534615e-08	3.5173398107063e-05
ASCL5	0.232842305733945	0.115986912055556	-3.16451622764166	0.498135043328796	0.00215972799064172	0.0200283346518399
ASPN	0.310319322238532	0.725236643458333	3.07697575648634	2.3370656980904	0.00314864995788306	0.0256442322545616
ATP2C2	0.0189540017981651	0.00808135744444445	-3.13501547224025	0.426366818495647	0.00260685160557546	0.0225965816473398
AVPR1A	0.354810707302752	1.41110896769444	2.96683729973388	3.97707549025677	0.00404517904941452	0.0299661256124634
B3GAT2	2.97454960977982	1.43923270523611	-4.09288303370422	0.483848949939903	8.9571088929857e-05	0.00270527961892973
BMP5	0.479230192183486	1.60923557998611	2.82563469744754	3.35795950721313	0.00612583749520254	0.0392568752389085
BTBD17	9.19937997120184	4.20891174179167	-4.50366811692303	0.457521241101839	2.32273998854889e-05	0.00119037028594434
C19orf59	0.511563948009174	1.17071179583333	3.39392075120706	2.28849550557526	0.00108853011888022	0.0128859838956703
CBLN1	2.56854688865138	1.20077170770833	-4.48103183372693	0.467490670703233	2.06070545696618e-05	0.00108789110073031
CCDC33	0.110152732449541	0.306777951986111	3.20227500681356	2.78502353200035	0.0019456016714928	0.0187591755200332
